configuration,batch,seed,run,result,raw_audit_result,result_evidence,replay_verified,game_seconds,requests,responses,api_errors,request_cancellations,planner_requests,planner_responses,accepted_plans,decision_responses_with_game_advance,planner_responses_with_game_advance,candidate_count_mean,minimum_request_interval_wall_s,heartbeat_game_to_wall_ratio,events_sha256,replay_sha256
random,random-macro-realtime-lv7-20260924-10-seeds,1,seed-001-attempt-01,Defeat,Defeat,replay,True,507.366071,315,315,0,0,0,0,0,315,0,2.780952380952381,1.0159999999999627,0.998009,8967ab1f04891412799ea8d58b398c3be06c015aaf48f0f380d24aa0b8c36d85,6edbbbe7a388c0406d10e3dae55b09e52daaf7b3f7e30ef66ed211e29bc60ade
random,random-macro-realtime-lv7-20260924-10-seeds,2,seed-002-attempt-01,Defeat,Defeat,replay,True,680.133929,461,461,0,0,0,0,0,461,0,3.2906724511930587,1.0149999999999864,0.994347,1e90fb8e0b681b1f30afef3bf72b2d533647fe840552d29839d8b5b1994e2562,8f446d42fdb6b283b29f42b08f24d2ee9a84fa12833ab7f8350977fb3601d107
random,random-macro-realtime-lv7-20260924-10-seeds,3,seed-003-attempt-01,Defeat,Defeat,replay,True,703.973214,430,430,0,0,0,0,0,430,0,3.1744186046511627,1.0149999999999864,0.995629,ed9f0939c7f8a226edc72f9fff9ca2b800871da7aeeccbee0e5962665c6242f3,b6a3699751aa707364cd72544437af587d82b2d872587124b01dc92f3891e892
random,random-macro-realtime-lv7-20260924-10-seeds,4,seed-004-attempt-01,Defeat,Defeat,replay,True,419.0625,280,280,0,0,0,0,0,280,0,2.6357142857142857,1.0149999999999864,0.986973,3150a4051388732f92c75f2565e2c36be7cf9855cde738fce6d0dbd7f72e7ce9,44273c6acee574e7ebd5e3037582e7ab939df5f322391e4f53530b8f98dd0b6c
random,random-macro-realtime-lv7-20260924-10-seeds,5,seed-005-attempt-01,Defeat,Defeat,replay,True,847.142857,562,562,0,0,0,0,0,562,0,4.5213523131672595,1.0149999999999864,0.988848,e7bb02508e4ea3bcd3d65b331a787e46a3efd8e37a258a0affc8a2aaf79e4bcf,a6d8b10795add0afb2d5b0daab39ba838ec735dd22c8b01f632466090d3af00a
random,random-macro-realtime-lv7-20260924-10-seeds,6,seed-006-attempt-01,Defeat,Defeat,replay,True,721.25,502,502,0,0,0,0,0,502,0,3.9223107569721116,1.0149999999999864,0.99121,d78e35c6b101a5ded654dd314673d10700984ac65fc919dcf3923ad94fe61b49,4bebea4867cfcac78fa75056bba72d64078e00264ed751e77a539473acf0960c
random,random-macro-realtime-lv7-20260924-10-seeds,7,seed-007-attempt-01,Defeat,Defeat,replay,True,432.946429,141,141,0,0,0,0,0,141,0,2.382978723404255,1.0160000000000196,0.99521,bfef3c48132135b0c56bce982346b2607ae65eac29f18e7135c0bd7f09350421,ecf636f1d8ba7bd844fa4cb4737f7e24ba03a58d2d54715397faef2e93019832
random,random-macro-realtime-lv7-20260924-10-seeds,8,seed-008-attempt-01,Defeat,Defeat,replay,True,851.651786,573,573,0,0,0,0,0,573,0,3.7905759162303663,1.0149999999999864,0.990663,ff0567d08a74c7bbdfaf4008ead619930f4d1f45bf272ab053af2469415de233,cfa832d3909adb1b2fc2473d5d1388bbe4a4ffe9e21a70365bebd4fe3f8c8efc
random,random-macro-realtime-lv7-20260924-10-seeds,9,seed-009-attempt-01,Defeat,Defeat,replay,True,652.723214,457,457,0,0,0,0,0,456,0,3.1619256017505473,1.0,0.98327,a6c136ebdbac9fa740a90d982c5e4a72203d32f384e558c0877ec4e17d70718d,7607b5377656066b55c4018364527b21c5c745685f6e5a36564a19ed33e8aebe
random,random-macro-realtime-lv7-20260924-10-seeds,10,seed-010-attempt-01,Defeat,Defeat,replay,True,416.875,183,183,0,0,0,0,0,183,0,2.4644808743169397,1.0,0.982131,d9fdfedcd9557fa4761e4482789e5bb1d23c5a1467ffbf008b5c441feee990fc,e9e9f2aeb78c3221e1bd83f1bba4a9b52a4f0c8d2427e620fec5601c75c74097
