run,method,method_name,track,scope,map,level,seed,episode,result,JEV_usd,GPT6_usd,total_usd,game_seconds,wall_seconds,cost_basis
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,jev_only,JEV-only,micro,main,3m,,,1,loss,0.0031423140000000002,0.0,0.0031423140000000002,7.5,24.031,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,jev_only,JEV-only,micro,main,3m,,,2,loss,0.003034668,0.0,0.003034668,7.143,8.421,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,jev_only,JEV-only,micro,main,3m,,,3,loss,0.0030481080000000003,0.0,0.0030481080000000003,7.5,8.704,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,jev_gpt6,JEV + GPT-6,micro,main,3m,,,1,loss,0.006482322,0.05910000000000001,0.06558232200000001,10.714,82.704,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,jev_gpt6,JEV + GPT-6,micro,main,3m,,,2,loss,0.006306384,0.05910000000000001,0.06540638400000001,10.357,12.438,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,jev_gpt6,JEV + GPT-6,micro,main,3m,,,3,loss,0.006618318000000001,0.05910000000000001,0.06571831800000001,11.071,13.063,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,jev_only,JEV-only,micro,main,8m,,,1,loss,0.008921514,0.0,0.008921514,7.5,26.594,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,jev_only,JEV-only,micro,main,8m,,,2,loss,0.009325134,0.0,0.009325134,7.857,10.968,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,jev_only,JEV-only,micro,main,8m,,,3,loss,0.009053646,0.0,0.009053646,7.5,11.031,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m,,,1,loss,0.01396542,0.07214,0.08610541999999999,10.357,84.313,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m,,,2,loss,0.014178276000000002,0.07214,0.086318276,10.357,13.625,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,jev_gpt6,JEV + GPT-6,micro,main,8m,,,3,win,0.014717514000000001,0.07214,0.086857514,10.714,14.141,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,jev_only,JEV-only,micro,main,25m,,,1,loss,0.055937616,0.0,0.055937616,7.5,33.453,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,jev_only,JEV-only,micro,main,25m,,,2,loss,0.055070190000000005,0.0,0.055070190000000005,7.5,16.984,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,jev_only,JEV-only,micro,main,25m,,,3,loss,0.05447992200000001,0.0,0.05447992200000001,7.143,16.421,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,jev_gpt6,JEV + GPT-6,micro,main,25m,,,1,loss,0.062877402,0.11494,0.177817402,11.071,92.172,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,jev_gpt6,JEV + GPT-6,micro,main,25m,,,2,loss,0.06563898600000001,0.11494,0.180578986,12.143,25.594,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,jev_gpt6,JEV + GPT-6,micro,main,25m,,,3,loss,0.06809224800000001,0.11494,0.183032248,11.786,38.875,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,jev_only,JEV-only,micro,main,5m_vs_6m,,,1,loss,0.004972506000000001,0.0,0.004972506000000001,6.429,21.906,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,jev_only,JEV-only,micro,main,5m_vs_6m,,,2,loss,0.004970784000000001,0.0,0.004970784000000001,6.786,8.5,episode JEV usage plus one third of shared map plan
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,jev_only,JEV-only,micro,main,5m_vs_6m,,,3,loss,0.005019252,0.0,0.005019252,6.429,8.531,episode JEV usage plus one third of shared map plan
