run,game_seconds,action,orders_submitted
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,2.142857142857143,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,2.857142857142857,CHRONOBOOST NEXUS,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,11.607142857142858,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,20.892857142857146,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,29.107142857142858,BUILD PYLON,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,34.285714285714285,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,40.892857142857146,BUILD ASSIMILATOR,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,47.32142857142858,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,55.0,SCOUTING PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,59.82142857142858,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,63.92857142857143,CHRONOBOOST NEXUS,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,65.17857142857143,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,66.25,BUILD GATEWAY,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,71.25,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,79.28571428571429,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,80.0,TRAIN PROBE,1
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,83.39285714285715,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,84.64285714285715,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,85.71428571428572,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,86.78571428571429,EMPTY ACTION,0
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,88.03571428571429,EMPTY ACTION,0
