run,map,method,development_map,episode,result,enemy_elimination,enemy_kills,JEV_input,JEV_output,game_seconds,wall_seconds
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,3m,jev_only,False,1,loss,0.0,0,74817,3179,7.5,24.031
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,3m,jev_only,False,2,loss,0.0,0,72254,3105,7.143,8.421
smac-hard/jev_runs/all-maps-20260921-001/3m/jev,3m,jev_only,False,3,loss,0.0,0,72574,3037,7.5,8.704
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,3m,jev_gpt6,False,1,loss,0.6666666666666666,2,154341,3593,10.714,82.704
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,3m,jev_gpt6,False,2,loss,0.6666666666666666,2,150152,3441,10.357,12.438
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,3m,jev_gpt6,False,3,loss,0.6666666666666666,2,157579,3632,11.071,13.063
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,8m,jev_only,False,1,loss,0.125,1,212417,9923,7.5,26.594
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,8m,jev_only,False,2,loss,0.125,1,222027,10456,7.857,10.968
smac-hard/jev_runs/all-maps-20260921-001/8m/jev,8m,jev_only,False,3,loss,0.25,2,215563,10156,7.5,11.031
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,8m,jev_gpt6,False,1,loss,0.5,4,332510,11049,10.357,84.313
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,8m,jev_gpt6,False,2,loss,0.625,5,337578,10754,10.357,13.625
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,8m,jev_gpt6,False,3,win,1.0,8,350417,11913,10.714,14.141
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,25m,jev_only,False,1,loss,0.0,0,1331848,51005,7.5,33.453
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,25m,jev_only,False,2,loss,0.04,1,1311195,49950,7.5,16.984
smac-hard/jev_runs/all-maps-20260921-001/25m/jev,25m,jev_only,False,3,loss,0.0,0,1297141,50461,7.143,16.421
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,25m,jev_gpt6,False,1,loss,0.52,13,1497081,37682,11.071,92.172
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,25m,jev_gpt6,False,2,loss,0.52,13,1562833,37962,12.143,25.594
smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,25m,jev_gpt6,False,3,loss,0.6,15,1621244,38437,11.786,38.875
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,5m_vs_6m,jev_only,False,1,loss,0.0,0,118393,5342,6.429,21.906
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,5m_vs_6m,jev_only,False,2,loss,0.16666666666666666,1,118352,5204,6.786,8.5
smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,5m_vs_6m,jev_only,False,3,loss,0.0,0,119506,5459,6.429,8.531
