track,method,scope,map,development_map,run,method_name,episodes,result,wall_seconds,game_seconds,JEV_requests,GPT6_requests,JEV_usd,GPT6_usd,JEV_input,JEV_output,GPT6_input,GPT6_output,GPT6_cached,GPT6_cache_write,JEV_known_responses,GPT6_known_responses,JEV_unknown_attempts,GPT6_unknown_attempts,total_usd,JEV_n,JEV_median_ms,JEV_p95_ms,JEV_p90_ms,JEV_max_ms,JEV_mean_ms,GPT6_n,GPT6_median_ms,GPT6_p95_ms,GPT6_p90_ms,GPT6_max_ms,GPT6_mean_ms,level,seed,first_attack_seconds,replay_game_seconds
micro,jev_only,main,3m,False,smac-hard/jev_runs/all-maps-20260921-001/3m/jev,JEV-only,3,,41.406,22.143,62,0,0.009225090000000003,0.0,219645,9321,0,0,0,0,62,0,0,0,0.009225090000000003,62,382.49999999970896,577.2500000011859,481.0000000004947,2155.9999999990396,433.3870967740598,0,,,,,,,,,
micro,jev_gpt6,main,3m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/3m/jev,JEV + GPT-6,3,,108.579,32.141999999999996,91,1,0.019407024000000005,0.1773,462072,10666,14565,633,0,0,90,1,1,0,0.196707024,90,406.00000000267755,484.5499999988533,468.99999999732245,5656.000000002678,474.9555555555465,1,38875.0,38875.0,38875.0,38875.0,38875.0,,,,
micro,jev_only,main,8m,False,smac-hard/jev_runs/all-maps-20260921-001/8m/jev,JEV-only,3,,48.86,22.857,64,0,0.027300293999999996,0.0,650007,30535,0,0,0,0,64,0,0,0,0.027300293999999996,64,468.99999999914144,685.5999999983395,651.1999999991531,1265.9999999996217,509.73437499976626,0,,,,,,,,,
micro,jev_gpt6,main,8m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m/jev,JEV + GPT-6,3,,112.422,31.427999999999997,90,1,0.04286121000000002,0.21642,1020505,33716,18322,664,0,0,88,1,2,0,0.25928121000000004,88,468.50000000267755,514.9999999994179,500.0,1843.9999999973224,471.54545454527994,1,36844.000000011874,36844.000000011874,36844.000000011874,36844.000000011874,36844.000000011874,,,,
micro,jev_only,main,25m,False,smac-hard/jev_runs/all-maps-20260921-001/25m/jev,JEV-only,3,,67.125,22.143,235,0,0.165487728,0.0,3940184,151416,0,0,0,0,235,0,0,0,0.165487728,235,500.0,743.6000000001508,672.000000000844,1405.9999999990396,541.6978723405454,0,,,,,,,,,
micro,jev_gpt6,main,25m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/25m/jev,JEV + GPT-6,3,,157.015,35.0,269,1,0.19660863600000011,0.34482,4681158,114081,31017,693,0,0,268,1,1,0,0.5414286360000001,268,500.0,650.7499999977878,567.4999999944705,5875.0,670.1492537307134,1,42625.0,42625.0,42625.0,42625.0,42625.0,,,,
micro,jev_only,main,5m_vs_6m,False,smac-hard/jev_runs/all-maps-20260921-001/5m_vs_6m/jev,JEV-only,3,,39.188,19.644,55,0,0.014962542000000006,0.0,356251,16005,0,0,0,0,55,0,0,0,0.014962542000000006,55,422.0000000022992,594.0000000009604,556.5999999984342,967.9999999971187,450.27272727265057,0,,,,,,,,,
micro,jev_gpt6,main,5m_vs_6m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/5m_vs_6m/jev,JEV + GPT-6,3,,98.891,23.214,65,1,0.024209598000000006,0.19456,576419,15939,16111,669,0,0,65,1,0,0,0.218769598,65,422.0000000059372,485.0000000005821,478.600000005099,4922.000000005937,500.061538461551,1,46906.99999999197,46906.99999999197,46906.99999999197,46906.99999999197,46906.99999999197,,,,
micro,jev_only,main,8m_vs_9m,False,smac-hard/jev_runs/all-maps-20260921-001/8m_vs_9m/jev,JEV-only,3,,42.187,20.357999999999997,57,0,0.025736340000000007,0.0,612770,28434,0,0,0,0,57,0,0,0,0.025736340000000007,57,452.9999999977008,646.3999999992665,606.4000000005763,1046.9999999986612,485.2280701755565,0,,,,,,,,,
micro,jev_gpt6,main,8m_vs_9m,False,smac-hard/jev_runs/p0-astra-all-maps-20260922-001/8m_vs_9m/jev,JEV + GPT-6,3,,114.36,25.356,73,1,0.036348984,0.21834,865452,28320,18374,692,0,0,71,1,2,0,0.254688984,71,453.9999999979045,609.4999999986612,546.9999999913853,3281.0000000026776,510.52112675999115,1,37172.00000000594,37172.00000000594,37172.00000000594,37172.00000000594,37172.00000000594,,,,
